List,Target,Word,Lexicality,Stratum,Root,KM_Dom_PoS,WF,CD,N,N_WF,N_CD,Length,Lemma,Ġabra_PoS,Gloss,NomGender,NomNumber,AdpPerson,AdpGender,AdpNumber,SubPerson,SubGender,SubNumber,DirPerson,DirGender,DirNumber,IndPerson,IndGender,IndNumber,Aspect,Polarity,SwapNeighbor,SwapOutcome,SwapWF,SwapCD
48,20038,aċċettati,Real,Non-Semitic,No Root,PART-PASS,5396,3475,22,10769,7883,9,aċċettat,ADJ,accepted,mf,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,16787,aċċettatx,Real,Non-Semitic,No Root,VERB,342,323,18,16952,12072,9,aċċetta,VERB,to accept,-,-,-,-,-,p3,f,sg,-,-,-,-,-,-,perf,neg,-,-,-,-
33,19577,aċċettaw,Real,Non-Semitic,No Root,VERB,1633,1415,22,18063,14219,8,aċċetta,VERB,to accept,-,-,-,-,-,p3,-,pl,-,-,-,-,-,-,perf,pos,-,-,-,-
12,12782,aċċettawx,Real,Non-Semitic,No Root,VERB,425,388,15,3762,3373,9,aċċetta,VERB,to accept,-,-,-,-,-,p3,-,pl,-,-,-,-,-,-,perf,neg,-,-,-,-
51,19632,aċċettax,Real,Non-Semitic,No Root,VERB,849,773,22,13832,11193,8,aċċetta,VERB,to accept,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,neg,-,-,-,-
11,12378,aċċident,Real,Non-Semitic,No Root,NOUN,6875,3134,14,1999,948,8,aċċident,NOUN,accident,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,14072,aċċidenti,Real,Non-Semitic,No Root,ADJ,1934,907,8,6885,3144,9,aċċident,NOUN,accident,m,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,14034,addattat,Real,Non-Semitic,No Root,PART-PASS,1780,1330,17,6035,4816,8,addattat,ADJ,adapted,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,13333,addattata,Real,Non-Semitic,No Root,PART-PASS,921,758,12,5392,4236,9,addattat,ADJ,adapted,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,12237,addattati,Real,Non-Semitic,No Root,PART-PASS,1492,1121,11,6062,4404,9,addattat,ADJ,adapted,mf,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,10821,adegwat,Real,Non-Semitic,No Root,PART-PASS,3814,2593,16,5397,4097,7,adegwat,ADJ,adequate,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,17221,adegwata,Real,Non-Semitic,No Root,PART-PASS,2330,1674,10,6519,4661,8,adegwat,ADJ,adequate,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,17382,adegwati,Real,Non-Semitic,No Root,PART-PASS,2086,1559,11,6680,4727,8,adegwat,ADJ,adequate,mf,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,18603,adorazzjoni,Real,Non-Semitic,No Root,NOUN,685,512,9,13,13,11,adorazzjoni,NOUN,adoration,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,11103,adult,Real,Non-Semitic,No Root,NOUN,1648,1084,9,5567,3813,5,adult,ADJ,an adult,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,10595,adulti,Real,Non-Semitic,No Root,NOUN,4974,3306,8,2220,1570,6,adult,ADJ,an adult,mf,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,20330,af,Real,Semitic,'-'-f,X-ABV,634,442,115,658155,161923,2,af,VERB,know,-,-,-,-,-,p2,-,sg,-,-,-,-,-,-,imp,pos,-,-,-,-
28,16062,affari,Real,Non-Semitic,No Root,NOUN,3549,2636,13,186,168,6,affari,NOUN,a situation,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,16160,affarijiet,Real,Non-Semitic,No Root,NOUN,211239,40222,53,1668,1483,10,affari,NOUN,a situation,f,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,20214,affettwat,Real,Non-Semitic,No Root,PART-PASS,1427,1189,17,5057,4162,9,affettwat,ADJ,affected,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,13094,affettwati,Real,Non-Semitic,No Root,PART-PASS,2504,1914,19,3906,3340,10,affettwat,ADJ,affected,mf,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,10628,afrikan,Real,Non-Semitic,No Root,ADJ,1469,956,13,11394,6981,7,afrikan,ADJ,afrikan,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,17125,afrikana,Real,Non-Semitic,No Root,ADJ,678,470,10,3717,2446,8,afrikan,ADJ,afrikan,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,12225,afrikani,Real,Non-Semitic,No Root,ADJ,2227,1472,12,2178,1453,8,afrikan,ADJ,afrikan,mf,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,20331,aġġastja,Real,Non-Semitic,No Root,INT,1,1,1,5,2,8,aġġastja,VERB,to adjust,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
14,13049,aġġorna,Real,Non-Semitic,No Root,VERB,1836,1795,15,10583,8955,7,aġġorna,VERB,to adjourn,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
39,17699,aġġornat,Real,Non-Semitic,No Root,VERB,7795,6661,18,13755,10219,8,aġġorna,VERB,to adjourn,-,-,-,-,-,p3,f,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
12,12822,aggrediehx,Real,Non-Semitic,No Root,VERB,3,2,1,19,19,10,aggredixxa,VERB,to assault,-,-,-,-,-,p3,m,sg,p3,m,sg,-,-,-,perf,neg,-,-,-,-
33,17626,aggredit,Real,Non-Semitic,No Root,NOUN,491,398,13,538,476,8,aggredixxa,VERB,to assault,-,-,-,-,-,-,m,sg,-,-,-,-,-,-,pastpart,-,-,-,-,-
31,16399,aggreditu,Real,Non-Semitic,No Root,VERB,10,9,7,881,734,9,aggredixxa,VERB,to assault,-,-,-,-,-,p3,f,sg,p3,m,sg,-,-,-,perf,pos,-,-,-,-
35,20332,aggredixxa,Real,Non-Semitic,No Root,VERB,209,171,6,56,53,10,aggredixxa,VERB,to assault,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
34,17639,aggressiv,Real,Non-Semitic,No Root,ADJ,855,724,7,1221,1084,9,aggressiv,ADJ,aggressive,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,16774,aggressivi,Real,Non-Semitic,No Root,ADJ,711,634,7,1283,1107,10,aggressiv,ADJ,aggressive,mf,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10496,aġġustat,Real,Non-Semitic,No Root,PART-PASS,1565,1264,13,1848,1313,8,aġġastja,VERB,to adjust,-,-,-,-,-,-,m,sg,-,-,-,-,-,-,pastpart,-,-,-,-,-
4,10580,aġġustata,Real,Non-Semitic,No Root,PART-PASS,619,446,9,2539,1987,9,aġġastja,VERB,to adjust,-,-,-,-,-,-,f,sg,-,-,-,-,-,-,pastpart,-,-,-,-,-
18,14413,aġġustati,Real,Non-Semitic,No Root,PART-PASS,963,714,13,2203,1728,9,aġġastja,VERB,to adjust,-,-,-,-,-,-,-,pl,-,-,-,-,-,-,pastpart,-,-,-,-,-
42,18272,agħmel,Real,Semitic,għ-m-l,VERB,757,548,13,325119,88520,6,għamel,VERB,make,-,-,-,-,-,p2,-,sg,-,-,-,-,-,-,imp,pos,-,-,-,-
2,10621,agħti,Real,Semitic,għ-t-j,VERB,859,450,25,189923,62353,5,ta,VERB,to give,-,-,-,-,-,p2,-,sg,-,-,-,-,-,-,imp,pos,-,-,-,-
28,16002,agħtihuli,Real,Semitic,għ-t-j,VERB,6,5,2,39,35,9,ta,VERB,to give,-,-,-,-,-,p2,-,sg,p3,m,sg,p1,-,sg,imp,pos,-,-,-,-
17,13915,agħtini,Real,Semitic,għ-t-j,VERB,312,258,7,4247,3241,7,ta,VERB,to give,-,-,-,-,-,p2,-,sg,p1,-,sg,-,-,-,imp,pos,-,-,-,-
27,15347,agħtuhom,Real,Semitic,għ-t-j,VERB,36,33,5,7415,4764,8,ta,VERB,to give,-,-,-,-,-,p2,-,pl,p3,-,pl,-,-,-,imp,pos,-,-,-,-
30,16732,agħtuni,Real,Semitic,għ-t-j,VERB,78,71,7,1343,1142,7,ta,VERB,to give,-,-,-,-,-,p2,-,pl,p1,-,sg,-,-,-,imp,pos,-,-,-,-
21,14287,agħżilni,Real,Semitic,għ-ż-l,VERB,2,2,3,20,17,8,għażel,VERB,to spin,-,-,-,-,-,p2,-,sg,p1,-,sg,-,-,-,imp,pos,-,-,-,-
23,14426,agunija,Real,Non-Semitic,No Root,NOUN,360,294,6,27,27,7,agunija,NOUN,agony,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,14728,aħbar,Real,Semitic,ħ-b-r,NOUN,9881,7274,28,464246,164417,5,aħbar,NOUN,a piece of news,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,17036,aħbarijiet,Real,Semitic,ħ-b-r,NOUN,20382,15175,26,575,503,10,aħbar,NOUN,a piece of news,mf,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,10559,aħdar,Real,Semitic,ħ-d-r,ADJ,2087,1171,19,426317,144998,5,aħdar,ADJ,green,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,16924,aħdmu,Real,Semitic,ħ-d-m,VERB,42,42,13,96443,33263,5,ħadem,VERB,to work,-,-,-,-,-,p2,-,pl,-,-,-,-,-,-,imp,pos,-,-,-,-
9,11534,aħħar,Real,Semitic,w-ħ-r,ADJ,292404,91502,51,158203,70779,5,aħħar,ADJ,last,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,15135,aħħari,Real,Semitic,w-ħ-r,ADJ,2358,1898,16,292611,91703,6,aħħari,ADJ,final,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,29034,aħħarija,Real,Semitic,w-ħ-r,ADJ,926,787,4,7,7,8,aħħari,ADJ,final,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,12282,aħjar,Real,Semitic,ħ-j-r,ADJ,117574,42703,39,311869,104071,5,aħjar,ADV,better,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,13041,aħmar,Real,Semitic,ħ-m-r,ADJ,6193,3265,25,425874,145068,5,aħmar,ADJ,red,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,12097,aħna,Real,Semitic,No Root,PRON-PERS,205379,24020,49,9921,6520,4,hija,PRON,she,f,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,16528,aħrax,Real,Semitic,ħ-r-x,ADJ,1493,1230,11,42,40,5,aħrax,ADJ,rough,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,19381,aħseb,Real,Semitic,ħ-s-b,VERB,5218,3984,17,133214,28525,5,ħaseb,VERB,to think,-,-,-,-,-,p2,-,sg,-,-,-,-,-,-,imp,pos,-,-,-,-
36,20109,aħsel,Real,Semitic,ħ-s-l,NOUN-PROP,282,111,12,6444,5025,5,ħasel,VERB,to wash,-,-,-,-,-,p2,-,sg,-,-,-,-,-,-,imp,pos,-,-,-,-
40,20334,aħtaf,Real,Semitic,ħ-t-f,VERB,21,21,7,1029,928,5,ħataf,VERB,to seize,-,-,-,-,-,p2,-,sg,-,-,-,-,-,-,imp,pos,-,-,-,-
22,14483,aħwa,Real,Semitic,No Root,NOUN,4198,2540,23,231597,40160,4,oħt,NOUN,sister,f,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,16078,ajkla,Real,Non-Semitic,No Root,NOUN,318,199,5,78,61,5,ajkla,NOUN,eagle,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,20335,ajkli,Real,Non-Semitic,No Root,NOUN,69,53,6,330,208,5,ajkla,NOUN,eagle,f,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,18183,ajruplan,Real,Non-Semitic,No Root,NOUN,10286,4092,20,7628,3651,8,ajruplan,NOUN,airplane,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,11702,ajruplani,Real,Non-Semitic,No Root,NOUN,7566,3593,19,10334,4138,9,ajruplan,NOUN,airplane,m,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,14230,ajruport,Real,Non-Semitic,No Root,NOUN,12452,6294,21,1672,886,8,ajruport,NOUN,airport,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,11053,ajruporti,Real,Non-Semitic,No Root,NOUN,1629,843,10,12462,6304,9,ajruport,NOUN,airport,m,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10099,akbar,Real,Semitic,k-b-r,ADJ,44530,24651,31,562793,157102,5,kbir,ADJ,big,mf,inv,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,19219,akkademiċi,Real,Non-Semitic,No Root,ADJ,2748,1873,13,76,70,10,akkademiku,ADJ,academic,mf,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,16715,akkademiku,Real,Non-Semitic,No Root,ADJ,2793,1775,8,2690,1755,10,akkademiku,ADJ,academic,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,19160,akkademja,Real,Non-Semitic,No Root,NOUN,3476,1632,12,210,174,9,akkademja,NOUN,academy,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,13382,akkanit,Real,Non-Semitic,No Root,ADJ,253,230,3,385,350,7,akkanit,ADJ,intent on sth.,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,17641,akkanita,Real,Non-Semitic,No Root,NOUN,91,90,2,543,486,8,akkanit,ADJ,intent on sth.,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,17981,akkaniti,Real,Non-Semitic,No Root,ADJ,290,256,5,349,325,8,akkanit,ADJ,intent on sth.,mf,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,15573,akkumpanjat,Real,Non-Semitic,No Root,PART-PASS,3691,2956,26,5066,4096,11,akkumpanjat,ADJ,acommpanied,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,19365,akkumpanjati,Real,Non-Semitic,No Root,PART-PASS,2640,2166,22,5751,4637,12,akkumpanjat,ADJ,acommpanied,mf,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,17770,akkużat,Real,Non-Semitic,No Root,PART-PASS,23158,9454,35,18832,11784,7,akkużat,ADJ,accused,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,10226,akkużata,Real,Non-Semitic,No Root,PART-PASS,2260,1295,14,29692,13444,8,akkużat,ADJ,accused,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,13818,akkużati,Real,Non-Semitic,No Root,PART-PASS,6157,3635,24,25752,11056,8,akkużat,ADJ,accused,mf,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,18626,akkwatika,Real,Non-Semitic,No Root,ADJ,11,6,2,76,44,9,akkwatiku,ADJ,aquatic,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,20336,akkwatiku,Real,Non-Semitic,No Root,ADJ,50,26,2,213,87,9,akkwatiku,ADJ,aquatic,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,14212,akkwistat,Real,Non-Semitic,No Root,PART-PASS,1362,912,19,5092,3635,9,akkwistat,ADJ,acquired,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,10037,akkwistata,Real,Non-Semitic,No Root,PART-PASS,1126,642,11,2645,1717,10,akkwistat,ADJ,acquired,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,15452,akkwistati,Real,Non-Semitic,No Root,PART-PASS,1130,677,8,2608,1632,10,akkwistat,ADJ,acquired,mf,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,18824,aktar,Real,Semitic,No Root,ADV,464450,108378,75,282557,75252,5,aktar,ADV,more,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,19574,aktarx,Real,Semitic,k-t-r,ADV,14515,9432,25,464521,108447,6,aktarx,ADV,likely,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,11140,alabastri,Real,Non-Semitic,No Root,NOUN,1,1,1,5,5,9,alabastru,NOUN,alabaster,m,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,11171,alabastru,Real,Non-Semitic,No Root,NOUN,5,5,2,2,2,9,alabastru,NOUN,alabaster,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,20337,albaniż,Real,Non-Semitic,No Root,NOUN-PROP,123,96,5,344,251,7,albaniż,ADJ,Albanian,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,19165,alfabetiku,Real,Non-Semitic,No Root,ADJ,269,212,1,105,96,10,alfabetiku,ADJ,alphabetic,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,19167,aljenazzjoni,Real,Non-Semitic,No Root,NOUN,476,407,5,6,6,12,aljenazzjoni,NOUN,alienation,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,10612,alka,Real,Non-Semitic,No Root,NOUN,419,215,39,32201,13806,4,alka,NOUN,seaweed,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,18496,alkoħol,Real,Non-Semitic,No Root,NOUN,6651,2318,17,567,396,7,alkoħol,NOUN,alcohol,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,15826,alkoħolika,Real,Non-Semitic,No Root,ADJ,613,109,8,1535,871,10,alkoħoliku,ADJ,alcoholic,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,10235,alkoħoliku,Real,Non-Semitic,No Root,ADJ,1517,857,12,796,238,10,alkoħoliku,ADJ,alcoholic,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,12107,alla,Real,Semitic,No Root,NOUN-PROP,28329,11246,84,38232,23397,4,alla,NOUN,god,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,17884,allaħares,Real,Semitic,No Root,INT,5315,3144,7,33,33,9,allaħares,INTJ,"exclamation of alarm, literally meaning 'God forbid'",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,15155,allat,Real,Semitic,No Root,NOUN,713,459,21,29968,12242,5,alla,NOUN,god,m,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,16130,alleat,Real,Non-Semitic,No Root,PART-PASS,343,320,14,9282,6947,6,alleat,NOUN,ally,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,18553,alleati,Real,Non-Semitic,No Root,PART-PASS,1192,956,10,1957,1577,7,alleat,NOUN,ally,-,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,17212,allegat,Real,Non-Semitic,No Root,PART-PASS,7025,5236,21,4907,4101,7,allegat,ADJ,alleged,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,20151,allegatament,Real,Non-Semitic,No Root,ADV,7133,5704,22,98,97,12,allegatament,ADV,allegedly,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,16032,allegati,Real,Non-Semitic,No Root,PART-PASS,1412,1075,16,9007,6832,8,allegat,ADJ,alleged,mf,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,11388,allegazzjoni,Real,Non-Semitic,No Root,NOUN,3992,2475,10,32,31,12,allegazzjoni,NOUN,allegation,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,10049,allegazzjonijiet,Real,Non-Semitic,No Root,NOUN,7546,4387,18,166,155,16,allegazzjoni,NOUN,allegation,f,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,12730,allokat,Real,Non-Semitic,No Root,PART-PASS,4287,2833,16,11242,6685,7,allokat,ADJ,allocated,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,14821,allokata,Real,Non-Semitic,No Root,PART-PASS,1827,1330,9,12946,7513,8,allokat,ADJ,allocated,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,10610,allokati,Real,Non-Semitic,No Root,PART-PASS,8642,4663,13,6159,4205,8,allokat,ADJ,allocated,mf,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,12021,allura,Real,Non-Semitic,No Root,ADV,153253,21373,26,182,167,6,allura,ADV,then,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,18330,altar,Real,Non-Semitic,No Root,NOUN,493,324,39,465095,108881,5,altar,NOUN,altar,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,13823,alternattiv,Real,Non-Semitic,No Root,ADJ,3907,2723,14,23088,11009,11,alternattiv,ADJ,alternative,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,14993,alternattiva,Real,Non-Semitic,No Root,NOUN-PROP,17819,7474,32,9435,6508,12,alternattiv,ADJ,alternative,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,16328,alternattivi,Real,Non-Semitic,No Root,NOUN,5233,3500,20,21794,10264,12,alternattiv,ADJ,alternative,mf,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
